Corazon,Morazon
Estomago,Ostomago
Hueso,Mueso
Piel,Biel
Sangre,Tangre
Cerebro,Perebro
Brazo,Grarzo
Pierna,Mierna
Rodilla,Fodilla
Codo,Godo
Tobillo,Cobillo
Ropa,Sopa
Zapato,Tapato
Calcetin,Talcetin
Reloj,Lejor
Collar,Cullar
Pulsera,Pusera
Broche,Troche
Collar,Collap
Pulsera,Fuslera
Broche,Brotche
Perplejidad,Cerplejidad
Despistado,Despistabo
Frivolo,Frevolo
Quimera,Guimera
Zafiro,Safiro
Murcielago,Murcielagc
indigo,irdigo
extasis,eztasis
Anacronismo,Anacronisno
Amapola,Amapulo
Fenix,Fanix
Laberinto,Laberintu
Reminiscencia,Reminiscenca
Anacoreta,Anacoreto
Apoteosis.Apoteosia
Onomatopeya,Onomatopeyo
Alucinacion,Alucinacio
Luminiscencia,Luminiscenca
Extravagante,Eytravagante
Inefable,Inefable
Erratico,Erratoca
Ensueño,Ensueñi
epico,ipico
Exacerbacion,Exacerbacio
Explosivo,Explozivo
Festin,Fetsin
Fugaz,Pugaz
Idilico,Idilicu
